Iteration	Posterior	Likelihood	Prior	is_bd_state_dependent	is_birth_hidden	is_birth_state_dependent	is_death_hidden	is_death_state_dependent	is_reversible	is_spCompletion_state_dependent
0	-773.6943	-689.6283	-84.06603	1	0	0	1	1	1	0
100	-641.0108	-577.6477	-63.36311	1	1	1	1	0	0	1
200	-629.9657	-576.264	-53.70167	1	1	0	1	1	1	0
300	-637.9807	-572.8552	-65.12554	1	1	1	0	1	0	0
400	-637.2599	-570.1931	-67.06675	1	1	1	1	0	1	1
500	-654.7287	-575.6547	-79.07403	1	1	1	1	1	0	0
600	-631.3875	-577.5659	-53.82162	1	1	1	0	0	0	0
700	-632.7724	-574.6186	-58.15377	1	1	1	0	1	0	0
800	-644.0708	-576.6705	-67.4003	1	1	1	1	1	0	1
900	-628.6687	-572.9802	-55.68849	1	1	1	0	1	1	1
1000	-636.8293	-577.5665	-59.26271	1	1	1	1	1	1	0
1100	-639.5388	-577.9147	-61.62408	1	1	1	1	0	0	1
1200	-646.1056	-575.951	-70.15454	1	1	1	1	1	0	1
1300	-645.5048	-580.001	-65.50381	1	1	0	0	1	0	1
1400	-644.3829	-577.4603	-66.92265	1	1	1	0	0	1	0
1500	-647.9171	-580.1135	-67.80354	1	1	1	0	1	0	1
1600	-646.0874	-578.1005	-67.98687	1	1	1	0	1	1	1
1700	-643.0029	-581.2697	-61.73325	1	1	1	1	1	1	1
1800	-637.259	-573.0557	-64.20332	1	1	1	0	0	0	1
1900	-643.9389	-581.1757	-62.76318	1	1	0	0	1	0	0
2000	-629.4417	-572.2754	-57.16627	1	1	1	0	0	1	0
2100	-633.9698	-578.3604	-55.60941	1	1	1	1	1	1	1
2200	-656.408	-582.0636	-74.34444	1	1	1	1	0	0	1
2300	-627.8367	-570.45	-57.38669	1	1	1	0	0	0	0
2400	-633.8122	-578.7337	-55.07854	1	1	1	0	1	0	0
2500	-642.2767	-575.5412	-66.73551	1	1	0	0	1	1	0
2600	-633.8594	-576.631	-57.22846	1	1	1	0	1	1	0
2700	-626.1238	-570.3499	-55.77392	1	1	1	0	1	0	0
2800	-640.712	-574.7823	-65.92967	1	1	1	1	1	1	0
2900	-626.4012	-571.942	-54.45924	1	1	1	0	1	0	1
3000	-641.3544	-576.83	-64.52439	1	1	1	0	0	0	0
3100	-647.0845	-580.7058	-66.37871	1	1	1	1	1	1	1
3200	-650.0303	-580.8616	-69.16874	1	1	1	1	0	0	1
3300	-633.3026	-574.9021	-58.40048	0	1	0	1	0	0	0
3400	-649.5557	-580.0932	-69.46249	1	1	1	1	1	0	1
3500	-643.9651	-578.6836	-65.28152	1	1	0	0	1	0	0
3600	-645.2992	-579.0805	-66.21868	1	1	1	0	0	0	0
3700	-646.3227	-578.7325	-67.59022	1	1	1	0	0	1	0
3800	-630.9435	-569.067	-61.87644	1	1	1	1	1	0	1
3900	-633.8078	-572.6118	-61.19598	1	1	1	1	1	0	1
4000	-638.9909	-575.6896	-63.30133	1	1	0	0	1	0	0
4100	-637.5829	-575.5753	-62.00755	1	1	1	0	0	0	1
4200	-640.818	-574.6883	-66.12974	1	1	1	1	1	1	0
4300	-628.3097	-571.4711	-56.83865	1	1	0	1	1	1	0
4400	-635.1677	-574.0594	-61.10828	1	1	0	0	1	0	1
4500	-642.3138	-585.2202	-57.09363	1	1	1	1	1	0	0
4600	-639.0319	-571.9736	-67.05836	1	1	1	1	0	1	0
4700	-633.5743	-574.1767	-59.39759	1	1	1	1	0	0	1
4800	-659.1635	-578.0551	-81.10839	1	1	1	1	1	1	1
4900	-648.3679	-583.8588	-64.50915	1	1	1	0	0	0	0
5000	-632.711	-573.3013	-59.40969	1	1	1	1	0	0	1
5100	-638.8616	-584.234	-54.62755	0	1	0	1	0	1	0
5200	-632.0809	-579.0483	-53.03258	1	1	1	0	0	1	0
5300	-643.8452	-580.3788	-63.46638	1	1	1	1	1	0	0
5400	-637.3235	-573.4623	-63.86119	1	1	1	1	0	0	1
5500	-631.021	-574.9003	-56.12064	1	1	1	1	1	0	0
5600	-632.9157	-576.9668	-55.94884	1	1	1	1	0	0	0
5700	-634.6307	-575.7829	-58.84771	1	1	1	0	0	0	1
5800	-625.0072	-572.7746	-52.23256	1	1	1	1	1	0	0
5900	-629.9349	-572.4819	-57.45306	1	1	1	1	0	1	1
