Iteration	Posterior	Likelihood	Prior	birth[1]	birth[2]	birth[3]	birth[4]	birth_hidden[1]	birth_hidden[2]	birth_observed[1]	birth_observed[2]	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_observed[1]	extinction_observed[2]	global_birth	global_death	global_trans_rate	R[1]	R[2]	SpeciationComplRate	stateSpecificRates[1]	stateSpecificRates[2]	structuring_rate[1]	structuring_rate[2]	transition_rates[1]	transition_rates[2]
0	-773.6943	-689.6283	-84.06603	1.87629	1.87629	1.87629	1.87629	1	1	1.87629	1.87629	0.00231544	0.309224	0.00326258	0.435714	0.830201	1.1698	0.00278901	0.372469	3.752577	0.3752577	0.1354954	0.127233	0.127233	0.7534209	0.37671	0.37671	1.8735	1.50382	0.128241	0.00725417
100	-641.0108	-577.6477	-63.36311	0.812743	1.50653	3.2412	6.00801	0.400964	1.59904	2.02697	3.75727	0.368671	0.368671	0.435102	0.435102	0.91735	1.08265	0.401887	0.401887	5.784243	0.8037732	0.01537086	0.0786927	0.0786927	0.5720102	0.286834	0.285176	1.62509	3.35538	0.0153709	0
200	-629.9657	-576.264	-53.70167	0.80395	0.80395	5.52867	5.52867	0.253908	1.74609	3.16631	3.16631	0.50835	0.138892	0.564569	0.154252	0.947602	1.0524	0.536459	0.146572	6.332617	0.6830312	0.0299985	0.0486289	0.0486289	0.5264117	0.263206	0.263206	2.62985	3.01974	0.0126949	0.0173036
300	-637.9807	-572.8552	-65.12554	0.680794	1.00151	4.24596	6.2462	0.276366	1.72363	2.46338	3.62385	0.180013	0.0533913	0.180013	0.0533913	1	1	0.180013	0.0533913	6.087231	0.2334041	0.02153384	0.0638219	0.0638219	0.5711571	0.285579	0.285579	2.28336	3.57046	0.0215338	0
400	-637.2599	-570.1931	-67.06675	0.524238	1.23801	3.32566	7.85366	0.272339	1.72766	1.92495	4.54583	0.0849614	0.0849614	0.180464	0.180464	0.64019	1.35981	0.132713	0.132713	6.470782	0.2654258	0.03147333	0.0587065	0.0587065	0.3898441	0.200257	0.189588	1.79224	4.41312	0.0230576	0.00841568
500	-654.7287	-575.6547	-79.07403	0.497996	0.803036	4.12903	6.6582	0.215256	1.78474	2.31351	3.73062	0.112526	0.183845	0.338947	0.553772	0.498485	1.50152	0.225736	0.368809	6.044129	0.594545	0.02683718	0.0524739	0.0524739	0.7184501	0.359225	0.359225	2.08777	3.36181	0.0268372	0
600	-631.3875	-577.5659	-53.82162	0.833718	1.01178	4.93709	5.99151	0.288943	1.71106	2.8854	3.50164	0.291381	0.291381	0.291381	0.291381	1	1	0.291381	0.291381	6.387047	0.5827615	0.06042712	0.0393977	0.0393977	0.5613406	0.28067	0.28067	2.59402	3.21026	0.0604271	0
700	-632.7724	-574.6186	-58.15377	0.604594	1.23093	3.6452	7.42147	0.284528	1.71547	2.1249	4.3262	0.0894719	0.203184	0.0894719	0.203184	1	1	0.0894719	0.203184	6.451099	0.2926564	0.01421455	0.0824803	0.0824803	0.5833369	0.291668	0.291668	2.03543	4.12302	0.0142146	0
800	-644.0708	-576.6705	-67.4003	0.788278	1.04123	4.93049	6.51263	0.275681	1.72432	2.85938	3.77693	0.393296	0.208965	0.539362	0.286573	0.843388	1.15661	0.466329	0.247769	6.63631	0.7140981	0.03335141	0.0576107	0.0576107	0.670443	0.409317	0.261126	2.39305	3.52916	0.0333514	0
900	-628.6687	-572.9802	-55.68849	0.539102	0.999995	3.74044	6.93824	0.251944	1.74806	2.13977	3.96912	0.0216642	0.0253799	0.0216642	0.0253799	1	1	0.0216642	0.0253799	6.10889	0.04704402	0.04485078	0.0639584	0.0639584	0.5166697	0.22846	0.28821	2.11811	3.94374	0.0203825	0.0244683
1000	-636.8293	-577.5665	-59.26271	0.393795	1.0715	3.09131	8.41131	0.225987	1.77401	1.74255	4.7414	0.0128306	0.0309392	0.0254224	0.0613023	0.67083	1.32917	0.0191265	0.0461207	6.483958	0.06524725	0.06153227	0.0993465	0.0993465	0.4062641	0.203132	0.203132	1.72343	4.69528	0.0393405	0.0221918
1100	-639.5388	-577.9147	-61.62408	0.831293	1.08742	4.94218	6.46492	0.28797	1.71203	2.88674	3.77617	0.524605	0.524605	1.34374	1.34374	0.561571	1.43843	0.934174	0.934174	6.662908	1.868348	0.01320007	0.041121	0.041121	0.636205	0.414723	0.221482	1.95256	2.842	0.0132001	0
1200	-646.1056	-575.951	-70.15454	0.368944	0.570166	3.92417	6.0644	0.171877	1.82812	2.14656	3.31728	0.0169884	0.0495174	0.133098	0.387951	0.226382	1.77362	0.075043	0.218734	5.463842	0.2937773	0.04765969	0.0878832	0.0878832	0.5093956	0.390326	0.11907	2.07151	3.09855	0.0476597	0
1300	-645.5048	-580.001	-65.50381	1.62701	1.62701	5.36746	5.36746	0.465229	1.53477	3.49724	3.49724	1.42619	0.179963	1.42619	0.179963	1	1	1.42619	0.179963	6.994471	1.606155	0.0277355	0.0296012	0.0296012	0.4248584	0.256524	0.168335	2.07104	3.31727	0.0277355	0
1400	-644.3829	-577.4603	-66.92265	0.983321	1.55095	4.70616	7.42281	0.345663	1.65434	2.84474	4.48688	0.652076	0.652076	0.652076	0.652076	1	1	0.652076	0.652076	7.331617	1.304151	0.03542683	0.0153106	0.0153106	0.7132017	0.356601	0.356601	2.19266	3.8348	0.0199791	0.0154477
1500	-647.9171	-580.1135	-67.80354	0.988756	1.71138	4.1165	7.12502	0.387349	1.61265	2.55263	4.4182	0.598563	0.152029	0.598563	0.152029	1	1	0.598563	0.152029	6.970825	0.7505922	0.008435356	0.0339949	0.0339949	0.8893785	0.477463	0.411915	1.95406	4.26617	0.00843536	0
1600	-646.0874	-578.1005	-67.98687	1.0822	2.42808	4.27339	9.588	0.404138	1.59586	2.67779	6.00804	0.856	0.795927	0.856	0.795927	1	1	0.856	0.795927	8.685828	1.651927	0.04169702	0.0277724	0.0277724	0.5315243	0.390207	0.141317	1.82179	5.21211	0.0374891	0.00420792
1700	-643.0029	-581.2697	-61.73325	0.561958	1.14734	3.39669	6.93499	0.283914	1.71609	1.97932	4.04116	0.0715778	0.0260601	0.143386	0.0522043	0.665951	1.33405	0.107482	0.0391322	6.020487	0.1466143	0.05212435	0.0419716	0.0419716	0.8379064	0.398548	0.439358	1.87184	4.00203	0.0465217	0.00560267
1800	-637.259	-573.0557	-64.20332	0.517493	1.29877	3.11962	7.82941	0.284563	1.71544	1.81856	4.56409	0.0783609	0.0783609	0.0783609	0.0783609	1	1	0.0783609	0.0783609	6.382647	0.1567218	0.01789861	0.0558568	0.0558568	0.5008756	0.228775	0.2721	1.74019	4.48573	0.0178986	0
1900	-643.9389	-581.1757	-62.76318	0.813623	0.813623	4.75645	4.75645	0.292141	1.70786	2.78504	2.78504	0.598288	0.169766	0.598288	0.169766	1	1	0.598288	0.169766	5.57007	0.7680541	0.01550417	0.0744585	0.0744585	0.7063327	0.353166	0.353166	2.18675	2.61527	0.0155042	0
2000	-629.4417	-572.2754	-57.16627	0.58952	0.968659	3.99692	6.56747	0.257071	1.74293	2.29322	3.76807	0.0574441	0.0574441	0.0574441	0.0574441	1	1	0.0574441	0.0574441	6.061288	0.1148883	0.02664206	0.07368	0.07368	0.5438059	0.271903	0.271903	2.23578	3.71062	0.0262862	0.000355853
2100	-633.9698	-578.3604	-55.60941	0.664959	1.14922	4.72237	8.16147	0.24686	1.75314	2.69366	4.65534	0.421255	0.345084	0.965792	0.791157	0.607413	1.39259	0.693524	0.568121	7.349008	1.261644	0.02269027	0.0858542	0.0858542	0.700259	0.315447	0.384812	2.00014	4.08722	0.0174591	0.0052312
2200	-656.408	-582.0636	-74.34444	0.529696	0.710242	4.2981	5.76309	0.219436	1.78056	2.4139	3.23667	0.00684651	0.00684651	1.41715	1.41715	0.00961591	1.99038	0.711998	0.711998	5.650564	1.423997	0.01689988	0.0477956	0.0477956	0.7729642	0.484999	0.287965	1.7019	2.52467	0.0168999	0
2300	-627.8367	-570.45	-57.38669	0.590677	1.09429	4.24378	7.86202	0.244361	1.75564	2.41723	4.47815	0.0639781	0.0639781	0.0639781	0.0639781	1	1	0.0639781	0.0639781	6.895382	0.1279562	0.01809658	0.0503247	0.0503247	0.4589342	0.229467	0.229467	2.35325	4.41418	0.0180966	0
2400	-633.8122	-578.7337	-55.07854	0.631426	0.884814	3.53796	4.95772	0.302887	1.69711	2.08469	2.92127	0.242384	0.0576592	0.242384	0.0576592	1	1	0.242384	0.0576592	5.005963	0.3000434	0.01014264	0.0894001	0.0894001	0.6733552	0.336678	0.336678	1.84231	2.86361	0.0101426	0
2500	-642.2767	-575.5412	-66.73551	1.04249	1.04249	6.42765	6.42765	0.279108	1.72089	3.73507	3.73507	0.663273	0.301384	0.663273	0.301384	1	1	0.663273	0.301384	7.470131	0.9646572	0.01700215	0.0436291	0.0436291	0.5713803	0.28569	0.28569	3.07179	3.43368	0.00957459	0.00742756
2600	-633.8594	-576.631	-57.22846	0.494613	0.905662	3.66197	6.70525	0.237991	1.76201	2.07829	3.80546	0.110275	0.0146874	0.110275	0.0146874	1	1	0.110275	0.0146874	5.883746	0.124962	0.03554117	0.12796	0.12796	0.6101474	0.305074	0.305074	1.96801	3.79077	0.0224935	0.0130476
2700	-626.1238	-570.3499	-55.77392	1.01782	1.45123	4.8151	6.86546	0.348992	1.65101	2.91646	4.15834	0.657836	0.0192985	0.657836	0.0192985	1	1	0.657836	0.0192985	7.074808	0.6771341	0.01583614	0.0267947	0.0267947	0.4766807	0.23834	0.23834	2.25863	4.13905	0.0158361	0
2800	-640.712	-574.7823	-65.92967	0.785092	1.33409	3.94388	6.70177	0.332035	1.66797	2.36449	4.01793	0.31065	0.153768	0.341249	0.168913	0.953063	1.04694	0.325949	0.161341	6.38242	0.48729	0.01927693	0.0724529	0.0724529	0.6737605	0.33688	0.33688	2.03854	3.85659	0.0184617	0.000815191
2900	-626.4012	-571.942	-54.45924	0.557738	0.72979	4.81275	6.29739	0.207705	1.7923	2.68525	3.51359	0.119667	0.0521547	0.119667	0.0521547	1	1	0.119667	0.0521547	6.198837	0.1718214	0.03264006	0.052695	0.052695	0.4372909	0.23096	0.206331	2.56558	3.46144	0.0326401	0
