taxon	species_code
pop20	1
pop19	2
pop46	2
pop98	2
pop97	2
pop67	2
pop114	2
pop211	2
pop53	2
pop40	2
pop59	2
pop58	2
pop57	2
pop180	2
pop179	2
pop143	2
pop246	2
pop245	2
pop234	2
pop236	2
pop235	2
pop155	2
pop88	2
pop244	2
pop243	2
pop214	2
pop213	2
pop174	2
pop208	2
pop207	2
pop172	2
pop171	2
pop232	2
pop231	2
pop135	2
pop132	2
pop134	2
pop220	2
pop238	2
pop237	2
pop210	2
pop209	2
pop228	2
pop227	2
pop242	2
pop241	2
pop145	2
pop138	2
pop240	2
pop239	2
pop169	2
pop218	2
pop217	2
pop167	2
pop194	2
pop193	2
pop192	2
pop191	2
pop198	2
pop230	2
pop250	2
pop249	2
pop196	2
pop195	2
pop183	2
pop128	2
pop204	2
pop203	2
pop177	2
pop116	2
pop176	2
pop175	2
pop216	2
pop215	2
pop248	2
pop247	2
pop152	2
pop224	2
pop223	2
pop181	2
pop141	2
pop78	2
pop86	?
pop94	?
pop93	?
pop44	?
pop43	?
pop200	2
pop199	2
pop112	3
pop254	3
pop253	3
pop99	3
pop103	4
pop212	5
pop60	6
pop52	7
pop83	8
pop226	9
pop225	9
pop202	10
pop201	10
pop126	11
pop222	12
pop221	12
pop189	12
pop129	13
pop206	14
pop205	14
pop166	14
pop165	14
pop163	14
pop252	15
pop251	15
pop186	16
pop185	16
pop56	17
pop55	17
pop30	17
pop66	17
pop41	17
pop15	17
pop48	18
pop23	0
