taxon	species_number
bandida_HaysCo_HayRan	0
bandida_HaysCo_HosHol	0
bandida_STravC_BloSin	0
bandida_STravC_GrasCov	0
bandida_STravC_Millen	0
bandida_STravC_PenCav	0
bandida_STravC_PipCav	0
bandida_STravC_Wyoaka	0
bandida_STravC_Y2Cave	0
ubickiCF_HaysCo_WimBat	0
browni_George_Browns	1
browniCF_Nwilli_HeaRob	2
brunsi_NorBex_AccSin	3
brunsi_NorBex_LosDog	3
bullis_StoneO_281162	4
bullis_StoneO_281167	4
bullis_StoneO_BunHol	4
bullis_StoneO_ClasFea	4
bullis_StoneO_EagNes	4
bullis_StoneO_GenCav	4
bullis_StoneO_HEB	4
bullis_StoneO_Hilger	4
bullis_StoneO_QuiCap	4
bullis_StoneO_RooCan	4
bullis_StoneO_StrLit	4
bullis_StoneO_UpCree	4
buwata_CedarP_AdoSpr	5
buwata_CedarP_Cortan	5
buwata_CedarP_FK2XXX	5
buwata_CedarP_FK32XX	5
buwata_CedarP_LakCav	5
buwata_CedarP_LeoSink	5
buwata_CedarP_RolRoc	5
buwata_McNeil_BecSew	5
buwata_McNeil_ColCav	5
buwata_PosOak_Collab	5
madla_CulAnt_151015	6
madla_CulAnt_151019	6
madla_CulAnt_151021	6
madla_CulAnt_15114	6
madla_GovCan_BonPil	6
madla_GovCan_Dancing	6
madla_GovCan_GCaBat	6
madla_GovCan_HacSink	6
madla_GovCan_Hernan	6
madla_GovCan_Lithic	6
madla_GovCan_LosPot	6
madla_GovCan_SanAnt	6
madla_GovCan_Scenic	6
madla_GovCan_SotPit	6
madla_GovCan_SurSink	6
madla_GovCan_TightC	6
madla_Helote_MadCav	6
madla_StoneO_HQCave	6
madla_StoneO_LowPrior	6
madla_StoneO_PlePit	6
madla_UTSA_160403	6
madla_UTSA_Breath	6
madla_UTSA_CraBat	6
madla_UTSA_Crownr	6
madla_UTSA_Huesta	6
madla_UTSA_LaCant	6
madla_UTSA_Scharf	6
madlaCF_HillCo_BobCla	7
madlaCF_HillCo_FernCa	7
mirifica_WPecRi_AmaMaz	8
novsp_Bander_HamCav	9
platypus_StoneO_1604FZ	10
platypus_StoneO_281162	10
platypus_StoneO_281168	10
platypus_StoneO_281180	10
platypus_StoneO_Callie	10
platypus_StoneO_HanRoc	10
platypus_StoneO_JosWal	10
platypus_StoneO_MarPit	10
platypus_StoneO_PlaPit	10
platypus_StoneO_RooTou	10
platypusCF_StoneO_B52Cav	10
reclusa_BlaCyp_CMCave	11
selectaCF_Utopia_FalAni	12
selectaCF_Utopia_MoonMt	12
selectaCF_Utopia_SplMtn	13
sp01_Kickap_DeepCa	14
sp02_Kickap_Kahns	15
travisae_Austin_Cotter	16
travisae_Austin_NorRoo	16
travisae_Austin_PerPar	16
travisae_Jollyv_Cortan	16
travisae_Jollyv_Cotter	16
travisae_Jollyv_JesEas	16
travisae_Jollyv_NewCom	16
travisae_Jollyv_Pickle	16
travisae_Jollyv_PonPar	16
travisae_Jollyv_ToothC	16
troglobia_SForHo_SevMil	17
ubickiCF_HaysCo_McCart	18
ubickiCF_HaysCo_BacYar	19
baronia_AlamoH_OblPit	?
baronia_AlamoH_Robber	?
baroniaCF_StoneO_GreeMt	?
baroniaCF_StoneO_TusHei	?
neovespera_UTSA_CE2160	?
vespera_CulAnt_151010	20
vespera_CulAnt_151015	20
vespera_CulAnt_151018	20
vespera_CulAnt_AMA002	20
vespera_CulAnt_AMA005	20
vespera_CulAnt_AMA006	20
vespera_CulAnt_AMA009	20
vespera_CulAnt_AMA014	20
vespera_CulAnt_BeaTre	20
vespera_CulAnt_CarCre	20
vespera_CulAnt_ChiCri	20
vespera_CulAnt_Feat99	20
vespera_CulAnt_KinToa	20
vespera_CulAnt_MaxRob	20
vespera_CulAnt_NorPre	20
vespera_CulAnt_S29XXX	20
vespera_CulAnt_SAWSPu	20
vespera_CulAnt_SBCCav	20
vespera_CulAnt_SteRan	20
vespera_CulAnt_WisPro	20
vespera_CulAnt_WomPit	20
vibora_Nwilli_SunCit	21
