taxon	species
bandida_HaysCo_HayRan	bandida
bandida_HaysCo_HosHol	bandida
bandida_STravC_BloSin	bandida
bandida_STravC_GrasCov	bandida
bandida_STravC_Millen	bandida
bandida_STravC_PenCav	bandida
bandida_STravC_PipCav	bandida
bandida_STravC_Wyoaka	bandida
bandida_STravC_Y2Cave	bandida
baronia_AlamoH_OblPit	unknown
baronia_AlamoH_Robber	unknown
baroniaCF_StoneO_GreeMt	unknown
baroniaCF_StoneO_TusHei	unknown
browni_George_Browns	browni
browniCF_Nwilli_HeaRob	browniCF
brunsi_NorBex_AccSin	brunsi
brunsi_NorBex_LosDog	brunsi
bullis_StoneO_281162	bullis
bullis_StoneO_281167	bullis
bullis_StoneO_BunHol	bullis
bullis_StoneO_ClasFea	bullis
bullis_StoneO_EagNes	bullis
bullis_StoneO_GenCav	bullis
bullis_StoneO_HEB	bullis
bullis_StoneO_Hilger	bullis
bullis_StoneO_QuiCap	bullis
bullis_StoneO_RooCan	bullis
bullis_StoneO_StrLit	bullis
bullis_StoneO_UpCree	bullis
buwata_CedarP_AdoSpr	buwata
buwata_CedarP_Cortan	buwata
buwata_CedarP_FK2XXX	buwata
buwata_CedarP_FK32XX	buwata
buwata_CedarP_LakCav	buwata
buwata_CedarP_LeoSink	buwata
buwata_CedarP_RolRoc	buwata
buwata_McNeil_BecSew	buwata
buwata_McNeil_ColCav	buwata
buwata_PosOak_Collab	buwata
madla_CulAnt_151015	madla
madla_CulAnt_151019	madla
madla_CulAnt_151021	madla
madla_CulAnt_15114	madla
madla_GovCan_BonPil	madla
madla_GovCan_Dancing	madla
madla_GovCan_GCaBat	madla
madla_GovCan_HacSink	madla
madla_GovCan_Hernan	madla
madla_GovCan_Lithic	madla
madla_GovCan_LosPot	madla
madla_GovCan_SanAnt	madla
madla_GovCan_Scenic	madla
madla_GovCan_SotPit	madla
madla_GovCan_SurSink	madla
madla_GovCan_TightC	madla	0
madla_Helote_MadCav	madla	0
madla_StoneO_HQCave	madla	0
madla_StoneO_LowPrior	madla
madla_StoneO_PlePit	madla
madla_UTSA_160403	madla
madla_UTSA_Breath	madla
madla_UTSA_CraBat	madla
madla_UTSA_Crownr	madla
madla_UTSA_Huesta	madla
madla_UTSA_LaCant	madla
madla_UTSA_Scharf	madla
madlaCF_HillCo_BobCla	madlaCF
madlaCF_HillCo_FernCa	madlaCF
mirifica_WPecRi_AmaMaz	mirifica
neovespera_UTSA_CE2160	unknown
novsp_Bander_HamCav	novsp
platypus_StoneO_1604FZ	platypus
platypus_StoneO_281162	platypus
platypus_StoneO_281168	platypus
platypus_StoneO_281180	platypus
platypus_StoneO_Callie	platypus
platypus_StoneO_HanRoc	platypus
platypus_StoneO_JosWal	platypus
platypus_StoneO_MarPit	platypus
platypus_StoneO_PlaPit	platypus
platypus_StoneO_RooTou	platypus
platypusCF_StoneO_B52Cav	platypus
reclusa_BlaCyp_CMCave	reclusa
selectaCF_Utopia_FalAni	selectaCF
selectaCF_Utopia_MoonMt	selectaCF
selectaCF_Utopia_SplMtn	selectaCF2
sp01_Kickap_DeepCa	sp01Kickap
sp02_Kickap_Kahns	sp02Kickap
travisae_Austin_Cotter	travisae
travisae_Austin_NorRoo	travisae
travisae_Austin_PerPar	travisae
travisae_Jollyv_Cortan	travisae
travisae_Jollyv_Cotter	travisae
travisae_Jollyv_JesEas	travisae
travisae_Jollyv_NewCom	travisae
travisae_Jollyv_Pickle	travisae
travisae_Jollyv_PonPar	travisae
travisae_Jollyv_ToothC	travisae
troglobia_SForHo_SevMil	troglobia
ubickiCF_HaysCo_BacYar	ubickiCF2
ubickiCF_HaysCo_McCart	ubickiCF
ubickiCF_HaysCo_WimBat	bandida
vespera_CulAnt_151010	vespera
vespera_CulAnt_151015	vespera
vespera_CulAnt_151018	vespera
vespera_CulAnt_AMA002	vespera
vespera_CulAnt_AMA005	vespera
vespera_CulAnt_AMA006	vespera
vespera_CulAnt_AMA009	vespera
vespera_CulAnt_AMA014	vespera
vespera_CulAnt_BeaTre	vespera
vespera_CulAnt_CarCre	vespera
vespera_CulAnt_ChiCri	vespera
vespera_CulAnt_Feat99	vespera
vespera_CulAnt_KinToa	vespera
vespera_CulAnt_MaxRob	vespera
vespera_CulAnt_NorPre	vespera
vespera_CulAnt_S29XXX	vespera
vespera_CulAnt_SAWSPu	vespera
vespera_CulAnt_SBCCav	vespera
vespera_CulAnt_SteRan	vespera
vespera_CulAnt_WisPro	vespera
vespera_CulAnt_WomPit	vespera
vibora_Nwilli_SunCit	vibora
