taxon	species	age	status
bandida_HaysCo_HayRan	bandida	0	known
bandida_HaysCo_HosHol	bandida	0	known
bandida_STravC_BloSin	bandida	0	known
bandida_STravC_GrasCov	bandida	0	known
bandida_STravC_Millen	bandida	0	known
bandida_STravC_PenCav	bandida	0	known
bandida_STravC_PipCav	bandida	0	known
bandida_STravC_Wyoaka	bandida	0	known
bandida_STravC_Y2Cave	bandida	0	known
browni_George_Browns	browni	0	known
browniCF_Nwilli_HeaRob	browniCF	0	known
brunsi_NorBex_AccSin	brunsi	0	known
brunsi_NorBex_LosDog	brunsi	0	known
baronia_AlamoH_OblPit	baronia	0	unknown
baronia_AlamoH_Robber	baronia	0	unknown
baroniaCF_StoneO_GreeMt	GreeMt	0	unknown
baroniaCF_StoneO_TusHei	TusHei	0	unknown
neovespera_UTSA_CE2160	baronia	0	unknown
bullis_StoneO_281162	baronia	0	known
bullis_StoneO_281167	baronia	0	known
bullis_StoneO_BunHol	baronia	0	known
bullis_StoneO_ClasFea	baronia	0	known
bullis_StoneO_EagNes	baronia	0	known
bullis_StoneO_GenCav	baronia	0	known
bullis_StoneO_HEB	baronia	0	known
bullis_StoneO_Hilger	baronia	0	known
bullis_StoneO_QuiCap	baronia	0	known
bullis_StoneO_RooCan	baronia	0	known
bullis_StoneO_StrLit	baronia	0	known
bullis_StoneO_UpCree	baronia	0	known
buwata_CedarP_AdoSpr	buwata	0	known
buwata_CedarP_Cortan	buwata	0	known
buwata_CedarP_FK2XXX	buwata	0	known
buwata_CedarP_FK32XX	buwata	0	known
buwata_CedarP_LakCav	buwata	0	known
buwata_CedarP_LeoSink	buwata	0	known
buwata_CedarP_RolRoc	buwata	0	known
buwata_McNeil_BecSew	buwata	0	known
buwata_McNeil_ColCav	buwata	0	known
buwata_PosOak_Collab	buwata	0	known
madla_CulAnt_151015	madla	0	known
madla_CulAnt_151019	madla	0	known
madla_CulAnt_151021	madla	0	known
madla_CulAnt_15114	madla	0	known
madla_GovCan_BonPil	madla	0	known
madla_GovCan_Dancing	madla	0	known
madla_GovCan_GCaBat	madla	0	known
madla_GovCan_HacSink	madla	0	known
madla_GovCan_Hernan	madla	0	known
madla_GovCan_Lithic	madla	0	known
madla_GovCan_LosPot	madla	0	known
madla_GovCan_SanAnt	madla	0	known
madla_GovCan_Scenic	madla	0	known
madla_GovCan_SotPit	madla	0	known
madla_GovCan_SurSink	madla	0	known
madla_GovCan_TightC	madla	0	known
madla_Helote_MadCav	madla	0	known
madla_StoneO_HQCave	madla	0	known
madla_StoneO_LowPrior	madla	0	known
madla_StoneO_PlePit	madla	0	known
madla_UTSA_160403	madla	0	known
madla_UTSA_Breath	madla	0	known
madla_UTSA_CraBat	madla	0	known
madla_UTSA_Crownr	madla	0	known
madla_UTSA_Huesta	madla	0	known
madla_UTSA_LaCant	madla	0	known
madla_UTSA_Scharf	madla	0	known
madlaCF_HillCo_BobCla	madlaCF	0	known
madlaCF_HillCo_FernCa	madlaCF	0	known
mirifica_WPecRi_AmaMaz	mirifica	0	known
novsp_Bander_HamCav	novsp	0	known
platypus_StoneO_1604FZ	platypus	0	known
platypus_StoneO_281162	platypus	0	known
platypus_StoneO_281168	platypus	0	known
platypus_StoneO_281180	platypus	0	known
platypus_StoneO_Callie	platypus	0	known
platypus_StoneO_HanRoc	platypus	0	known
platypus_StoneO_JosWal	platypus	0	known
platypus_StoneO_MarPit	platypus	0	known
platypus_StoneO_PlaPit	platypus	0	known
platypus_StoneO_RooTou	platypus	0	known
platypusCF_StoneO_B52Cav	platypus	0	known
reclusa_BlaCyp_CMCave	reclusa	0	known
selectaCF_Utopia_FalAni	selectaCF	0	known
selectaCF_Utopia_MoonMt	selectaCF	0	known
selectaCF_Utopia_SplMtn	selectaCF2	0	known
sp01_Kickap_DeepCa	sp01Kickap	0	known
sp02_Kickap_Kahns	sp02Kickap	0	known
travisae_Austin_Cotter	travisae	0	known
travisae_Austin_NorRoo	travisae	0	known
travisae_Austin_PerPar	travisae	0	known
travisae_Jollyv_Cortan	travisae	0	known
travisae_Jollyv_Cotter	travisae	0	known
travisae_Jollyv_JesEas	travisae	0	known
travisae_Jollyv_NewCom	travisae	0	known
travisae_Jollyv_Pickle	travisae	0	known
travisae_Jollyv_PonPar	travisae	0	known
travisae_Jollyv_ToothC	travisae	0	known
troglobia_SForHo_SevMil	troglobia	0	known
ubickiCF_HaysCo_BacYar	ubickiCF2	0	known
ubickiCF_HaysCo_McCart	ubickiCF	0	known
ubickiCF_HaysCo_WimBat	bandida	0	known
vespera_CulAnt_151010	vespera	0	known
vespera_CulAnt_151015	vespera	0	known
vespera_CulAnt_151018	vespera	0	known
vespera_CulAnt_AMA002	vespera	0	known
vespera_CulAnt_AMA005	vespera	0	known
vespera_CulAnt_AMA006	vespera	0	known
vespera_CulAnt_AMA009	vespera	0	known
vespera_CulAnt_AMA014	vespera	0	known
vespera_CulAnt_BeaTre	vespera	0	known
vespera_CulAnt_CarCre	vespera	0	known
vespera_CulAnt_ChiCri	vespera	0	known
vespera_CulAnt_Feat99	vespera	0	known
vespera_CulAnt_KinToa	vespera	0	known
vespera_CulAnt_MaxRob	vespera	0	known
vespera_CulAnt_NorPre	vespera	0	known
vespera_CulAnt_S29XXX	vespera	0	known
vespera_CulAnt_SAWSPu	vespera	0	known
vespera_CulAnt_SBCCav	vespera	0	known
vespera_CulAnt_SteRan	vespera	0	known
vespera_CulAnt_WisPro	vespera	0	known
vespera_CulAnt_WomPit	vespera	0	known
vibora_Nwilli_SunCit	vibora	0	known
