Iteration	Posterior	Likelihood	Prior	ephemerality[1]	ephemerality[2]	ephemerality[3]	ephemerality[4]	ephemerality_observed[1]	ephemerality_observed[2]	evolvability[1]	evolvability[2]	evolvability[3]	evolvability[4]	evolvability_observed[1]	evolvability_observed[2]	global_ephemerality	global_evolvability	global_net_pop_formation	global_pop_turnover	global_speciation_success	net_pop_formation_rate[1]	net_pop_formation_rate[2]	net_pop_formation_rate[3]	net_pop_formation_rate[4]	net_pop_formation_rate_observed[1]	net_pop_formation_rate_observed[2]	pop_turnover[1]	pop_turnover[2]	pop_turnover[3]	pop_turnover[4]	pop_turnover_observed[1]	pop_turnover_observed[2]	speciation_success[1]	speciation_success[2]	speciation_success[3]	speciation_success[4]	speciation_success_observed[1]	speciation_success_observed[2]
0	-999.8469	-756.0755	-243.7714	1.12784	1.12784	3.09265	3.09265	2.13097	2.13097	1.4751	1.4717	3.35911	3.35571	4.81448	4.81108	2.130974	9.625561	7.268794	0.6899312	0.3237632	0.875193	0.875193	2.7592	2.7592	3.6344	3.6344	0.758183	0.758183	0.659443	0.659443	0.689931	0.689931	0.672242	0.672242	0.213229	0.213229	0.323763	0.323763
1	-832.7782	-717.1039	-115.6743	1.5427	0.754403	6.09295	2.97954	3.88173	1.89822	1.0627	1.46179	3.36904	3.76813	4.41198	5.21488	2.549633	9.626869	7.268794	0.8254773	0.3237632	0.664028	0.664028	2.97037	2.97037	3.6344	3.6344	0.897796	0.897796	0.792683	0.792683	0.825477	0.825477	0.581963	1.19008	0.130098	0.266042	0.212657	0.434869
2	-803.0499	-694.0214	-109.0286	0.903662	0.903662	4.08599	4.08599	2.54963	2.54963	1.18576	1.18105	3.65019	3.64548	4.81579	4.81108	2.549633	9.626869	7.268794	0.8254773	0.3237632	0.584982	0.584982	3.04942	3.04942	3.6344	3.6344	0.908854	0.908854	0.788334	0.788334	0.825477	0.825477	1.00574	1.00574	0.192936	0.192936	0.323763	0.323763
3	-724.8512	-627.1329	-97.71832	0.854908	0.854908	3.86554	3.86554	2.41207	2.41207	1.15124	1.15478	3.48271	3.48625	4.61675	4.62029	2.412074	9.237031	6.876625	0.8254773	0.3422272	0.55342	0.55342	2.88489	2.88489	3.43831	3.43831	0.908854	0.908854	0.788334	0.788334	0.825477	0.825477	1.0631	1.0631	0.203939	0.203939	0.342227	0.342227
4	-729.8071	-623.8665	-105.9406	0.854908	0.854908	3.86554	3.86554	2.41207	2.41207	1.15099	1.15503	3.48246	3.4865	4.6165	4.62054	2.412074	9.237031	6.876625	0.8254773	0.3422272	0.55342	0.55342	2.88489	2.88489	3.43831	3.43831	0.908854	0.908854	0.788334	0.788334	0.825477	0.825477	1.0631	1.0631	0.203939	0.203939	0.342227	0.342227
5	-714.0709	-616.2893	-97.78159	0.763039	0.944393	3.73902	3.98804	2.30411	2.51685	1.08814	1.22461	3.35782	3.61787	4.42494	4.81548	2.412074	9.240422	6.876625	0.8254773	0.3422272	0.488178	0.618663	2.75786	3.01192	3.24604	3.63059	0.919599	0.898108	0.797654	0.779014	0.835237	0.815718	1.20518	0.95099	0.213333	0.195338	0.362498	0.324103
6	-702.3813	-603.818	-98.56329	4.33703	0.715282	8.80233	2.42565	7.36124	1.87527	1.23749	1.08205	4.79267	4.44315	6.00914	5.49819	3.288808	11.50734	9.190205	0.8254773	0.2509959	1.02021	0.459017	4.40183	3.30915	5.42204	3.76817	0.874274	0.943433	0.75834	0.818328	0.79407	0.856884	0.201584	1.31897	0.0861521	0.337365	0.107872	0.456938
7	-687.1357	-599.5451	-87.59061	0.47771	0.793413	3.00924	4.99795	2.14824	3.56793	1.0362	0.770808	5.35284	4.92762	6.36303	5.66643	2.681783	12.02946	9.190205	0.8254773	0.3078092	0.340061	0.340061	4.25504	4.25504	4.5951	4.5951	0.958093	0.958093	0.766399	0.766399	0.825477	0.825477	2.00559	1.20756	0.254682	0.153343	0.384258	0.23136
8	-661.6944	-586.1799	-75.51444	0.597106	0.296335	3.74471	5.33393	2.37967	3.1652	1.37172	0.669262	5.62825	4.41272	6.97672	5.05274	2.681783	12.02946	9.190205	0.8254773	0.3078092	0.529197	0.150926	4.6796	3.83048	5.20879	3.98141	0.93627	0.980957	0.748942	0.784688	0.806675	0.845177	1.56801	3.3103	0.2	0.147113	0.338986	0.267022
9	-662.0791	-584.6878	-77.39132	0.814275	0.404112	5.15591	7.34402	3.26168	4.33835	1.15071	0.537091	5.37238	4.25956	6.49954	4.76634	3.675759	11.26587	9.190205	0.8254773	0.2245733	0.529197	0.150926	4.6796	3.83048	5.20879	3.98141	0.93627	0.980957	0.748942	0.784688	0.806675	0.845177	1.14982	2.42744	0.145259	0.106847	0.247319	0.194815
10	-648.5497	-578.0865	-70.46313	0.874005	0.874005	4.9473	4.9473	3.67576	3.67576	0.72671	0.735751	4.92807	4.93711	5.63039	5.63943	3.675759	11.26983	9.190205	0.8254773	0.2245733	0.340061	0.340061	4.25504	4.25504	4.5951	4.5951	0.958093	0.958093	0.766399	0.766399	0.825477	0.825477	1.09621	1.09621	0.154912	0.154912	0.224573	0.224573
11	-652.0788	-575.9521	-76.12665	0.704792	0.704792	5.41949	5.41949	3.67576	3.67576	0.753492	0.762533	4.89836	4.9074	5.63039	5.63943	3.675759	11.26983	9.190205	0.8254773	0.2245733	0.313482	0.313482	4.28162	4.28162	4.5951	4.5951	0.961368	0.961368	0.764939	0.764939	0.825477	0.825477	1.36405	1.36405	0.141146	0.141146	0.224573	0.224573
12	-657.4965	-583.5906	-73.90596	0.659658	0.659658	7.16889	7.16889	4.15133	4.15133	0.881777	0.890818	5.36331	5.37235	6.22491	6.23395	4.151329	12.45886	10.37923	0.8254773	0.1988465	0.35404	0.35404	4.83558	4.83558	5.18962	5.18962	0.961368	0.961368	0.764939	0.764939	0.825477	0.825477	1.45737	1.45737	0.106703	0.106703	0.198847	0.198847
13	-652.0379	-575.2779	-76.76	0.609806	1.39186	3.21992	7.34935	1.99918	4.56305	1.70033	1.14203	5.53072	4.97242	7.211	6.08572	2.780261	13.29672	10.37923	0.7774507	0.2796323	0.679611	0.679611	4.51001	4.51001	5.18962	5.18962	0.905435	0.905435	0.720435	0.720435	0.777451	0.777451	1.48479	0.650523	0.223743	0.098027	0.388885	0.17038
14	-652.7233	-574.3746	-78.34867	0.702569	1.60359	2.84437	6.49216	1.99918	4.56305	1.56826	1.08476	5.66512	5.0319	7.21098	6.08564	2.780261	13.29661	10.37923	0.7774507	0.2796323	0.679611	0.679611	4.51001	4.51001	5.18962	5.18962	0.905435	0.905435	0.720435	0.720435	0.777451	0.777451	1.28875	0.564632	0.253285	0.11097	0.388885	0.17038
15	-648.3515	-576.2399	-72.11155	0.714145	1.63001	2.88995	6.5962	2.14928	4.90565	1.32067	0.915357	5.77101	5.13879	7.07003	6.02389	2.989006	13.09392	10.37923	0.7774507	0.2601034	0.571559	0.571559	4.61806	4.61806	5.18962	5.18962	0.92047	0.92047	0.713737	0.713737	0.777451	0.777451	1.28891	0.564702	0.246972	0.108204	0.361726	0.158481
16	-647.1965	-578.0426	-69.15392	0.606014	1.3832	3.79673	8.66589	2.32375	5.30388	1.45565	0.972434	5.50215	5.01893	6.93111	5.96011	3.231648	12.89122	10.37923	0.7774507	0.2405741	0.571559	0.571559	4.61806	4.61806	5.18962	5.18962	0.92047	0.92047	0.713737	0.713737	0.777451	0.777451	1.51889	0.665462	0.187987	0.0823617	0.334567	0.146582
