Iteration	Posterior	Likelihood	Prior	is_bd_state_dependent	is_extinction_hidden	is_extinction_state_dependent	is_pop_formation_hidden	is_pop_formation_state_dependent	is_reversible	is_spCompletion_hidden	is_spCompletion_state_dependent
0	-999.8469	-756.0755	-243.7714	0	1	0	1	0	0	0	0
1	-832.7782	-717.1039	-115.6743	0	1	0	1	0	0	0	1
2	-803.0499	-694.0214	-109.0286	0	1	0	1	0	0	0	0
3	-724.8512	-627.1329	-97.71832	0	1	0	1	0	1	0	0
4	-729.8071	-623.8665	-105.9406	0	1	0	1	0	1	0	0
5	-714.0709	-616.2893	-97.78159	1	1	1	1	0	1	0	0
6	-702.3813	-603.818	-98.56329	1	1	1	1	0	1	1	1
7	-687.1357	-599.5451	-87.59061	0	1	0	1	0	1	1	1
8	-661.6944	-586.1799	-75.51444	1	1	0	1	1	1	1	1
9	-662.0791	-584.6878	-77.39132	1	1	0	1	1	1	1	1
10	-648.5497	-578.0865	-70.46313	0	1	0	1	0	1	1	0
11	-652.0788	-575.9521	-76.12665	0	1	0	1	0	1	1	0
12	-657.4965	-583.5906	-73.90596	0	1	0	1	0	1	0	0
13	-652.0379	-575.2779	-76.76	0	1	0	1	0	1	0	1
14	-652.7233	-574.3746	-78.34867	0	1	0	1	0	1	1	1
15	-648.3515	-576.2399	-72.11155	0	1	0	1	0	1	1	1
16	-647.1965	-578.0426	-69.15392	0	1	0	1	0	1	0	1
17	-641.786	-565.6954	-76.09065	0	1	0	1	0	1	1	1
18	-632.3715	-559.9652	-72.40635	0	1	0	1	0	1	0	1
19	-634.1796	-551.9449	-82.23471	0	1	0	1	0	1	0	1
20	-633.3225	-554.3189	-79.00363	0	1	0	1	0	1	0	1
21	-619.9502	-536.6873	-83.26292	0	1	0	1	0	1	0	1
22	-611.6429	-530.3543	-81.2886	0	1	0	1	0	1	1	1
23	-612.6265	-526.0543	-86.57221	0	1	0	1	0	1	1	1
24	-617.2356	-532.5213	-84.71431	1	1	1	1	0	1	0	1
25	-613.8911	-529.0031	-84.88799	1	1	1	1	0	1	0	1
26	-612.6747	-528.63	-84.04471	0	1	0	1	0	1	0	1
27	-615.9918	-526.4708	-89.52097	0	1	0	1	0	1	1	1
28	-611.4911	-527.5495	-83.94158	0	1	0	1	0	1	0	1
29	-619.7171	-529.417	-90.30005	0	1	0	1	0	1	0	1
30	-614.4053	-532.5951	-81.81028	0	1	0	1	0	1	0	1
31	-615.8013	-531.5149	-84.2864	0	1	0	1	0	1	1	1
32	-612.6314	-526.51	-86.12133	0	1	0	1	0	1	1	1
33	-614.5008	-526.7198	-87.78091	0	1	0	1	0	1	0	1
34	-622.5274	-525.3796	-97.14775	0	1	0	1	0	1	1	1
35	-621.1803	-529.7442	-91.43612	0	1	0	1	0	1	1	1
36	-616.1293	-526.8526	-89.27665	0	1	0	1	0	1	1	1
37	-604.1646	-521.0668	-83.0978	1	1	1	1	0	1	1	1
38	-611.8359	-525.0395	-86.79649	0	1	0	1	0	1	1	0
39	-612.4393	-525.485	-86.95439	0	1	0	1	0	1	0	0
40	-616.6848	-526.6422	-90.04264	1	1	0	1	1	1	0	1
41	-607.7956	-523.4022	-84.39332	1	1	0	1	1	1	0	0
42	-616.3561	-528.544	-87.81204	1	1	0	1	1	1	0	0
43	-617.0518	-526.8785	-90.17336	0	1	0	1	0	1	1	0
44	-609.5015	-526.9144	-82.58707	0	1	0	1	0	1	1	0
45	-612.4521	-531.268	-81.18411	0	1	0	1	0	1	0	0
46	-616.6343	-528.1679	-88.46647	0	1	0	1	0	1	0	0
47	-606.6305	-521.7156	-84.91486	0	1	0	1	0	1	0	0
48	-613.3728	-523.8311	-89.54165	1	1	1	1	0	1	0	0
49	-629.6965	-530.7191	-98.97745	0	1	0	1	0	1	0	0
50	-607.4332	-525.1506	-82.2826	0	1	0	1	0	1	1	1
51	-611.2007	-527.6123	-83.58831	0	1	0	1	0	1	0	0
52	-608.5479	-524.1378	-84.41012	1	1	0	1	1	1	0	1
53	-612.0578	-528.065	-83.99284	0	1	0	1	0	1	0	1
54	-617.108	-532.1011	-85.00699	0	1	0	1	0	1	0	0
55	-607.4062	-530.6802	-76.72604	1	1	0	1	1	1	0	0
56	-614.0855	-532.6518	-81.43371	1	1	0	1	1	1	0	1
57	-618.9209	-528.8665	-90.05441	1	1	0	1	1	1	0	0
58	-624.5543	-531.1701	-93.38415	0	1	0	1	0	1	0	0
59	-608.0038	-528.1632	-79.84057	0	1	0	1	0	1	0	0
60	-609.7651	-528.8112	-80.95397	0	1	0	1	0	1	0	0
61	-607.28	-521.6681	-85.61192	0	1	0	1	0	1	1	0
62	-605.5495	-526.0515	-79.49797	0	1	0	1	0	1	0	0
63	-609.0107	-525.5801	-83.43061	0	1	0	1	0	1	0	0
64	-605.279	-528.0079	-77.27108	0	1	0	1	0	1	0	0
65	-621.4512	-532.9793	-88.47192	0	1	0	1	0	1	0	0
66	-607.737	-523.9361	-83.80089	0	1	0	1	0	1	1	0
67	-609.2054	-524.8474	-84.35808	0	1	0	1	0	1	0	0
68	-611.0199	-526.8834	-84.13647	0	1	0	1	0	1	0	1
69	-616.8401	-529.6809	-87.1593	1	1	1	1	1	1	1	1
70	-622.248	-525.7229	-96.52513	0	1	0	1	0	1	0	1
71	-625.6711	-524.6668	-101.0042	0	1	0	1	0	1	0	1
72	-616.9564	-526.86	-90.09642	0	1	0	1	0	1	1	0
73	-621.3309	-526.5599	-94.771	0	1	0	1	0	1	1	0
74	-626.4959	-529.6209	-96.875	0	1	0	1	0	1	0	1
75	-625.2053	-529.5638	-95.64146	0	1	0	1	0	1	0	0
76	-620.2534	-526.3896	-93.8638	0	1	0	1	0	1	0	0
77	-619.4414	-529.5545	-89.88691	0	1	0	1	0	1	0	0
78	-606.3524	-521.4797	-84.87267	0	1	0	1	0	1	0	1
79	-610.9182	-527.2507	-83.66758	0	1	0	1	0	1	0	0
80	-616.2452	-529.0169	-87.22823	0	1	0	1	0	1	0	0
81	-617.704	-533.591	-84.11295	0	1	0	1	0	1	0	1
82	-620.6234	-526.5653	-94.05816	0	1	0	1	0	1	0	1
83	-620.2661	-527.6139	-92.65218	0	1	0	1	0	1	1	1
84	-607.7585	-529.5675	-78.19097	0	1	0	1	0	1	0	1
85	-608.9962	-529.4681	-79.52814	0	1	0	1	0	1	0	1
86	-605.6326	-527.3938	-78.23876	0	1	0	1	0	1	0	0
87	-612.2568	-527.3773	-84.87946	0	1	0	1	0	1	0	1
88	-618.0399	-528.8564	-89.18346	0	1	0	1	0	1	0	0
89	-625.0146	-532.3104	-92.7042	0	1	0	1	0	1	0	0
90	-622.0355	-526.8538	-95.18169	0	1	0	1	0	1	0	1
91	-614.7908	-529.2987	-85.49207	1	1	0	1	1	1	0	1
92	-606.7272	-524.4499	-82.27727	0	1	0	1	0	1	0	1
93	-612.1029	-529.2206	-82.88225	0	1	0	1	0	1	0	1
94	-618.3094	-529.5949	-88.7145	0	1	0	1	0	1	0	1
95	-620.4199	-533.9231	-86.49689	0	1	0	1	0	1	0	1
96	-608.401	-529.6037	-78.79727	0	1	0	1	0	1	0	1
97	-617.5343	-530.3771	-87.15713	0	1	0	1	0	1	0	1
98	-609.4229	-530.4713	-78.95153	0	1	0	1	0	1	0	1
99	-604.7683	-525.0754	-79.69291	0	1	0	1	0	1	0	1
100	-617.0438	-523.9414	-93.1024	0	1	0	1	0	1	0	1
