Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_observed[1]	extinction_observed[2]	global_extinction	global_net_pop_formation	global_pop_formation	global_spCompletion	global_trans_rate	net_pop_formation_rate[1]	net_pop_formation_rate[2]	net_pop_formation_rate[3]	net_pop_formation_rate[4]	net_pop_formation_rate_observed[1]	net_pop_formation_rate_observed[2]	pop_formation[1]	pop_formation[2]	pop_formation[3]	pop_formation[4]	pop_formation_hidden[1]	pop_formation_hidden[2]	pop_formation_observed[1]	pop_formation_observed[2]	R[1]	R[2]	spCompletion[1]	spCompletion[2]	spCompletion[3]	spCompletion[4]	spCompletion_hidden[1]	spCompletion_hidden[2]	spCompletion_observed[1]	spCompletion_observed[2]	spCompletion_relative[1]	spCompletion_relative[2]	transition_rates[1]	transition_rates[2]
0	-999.8469	-756.0755	-243.7714	2.74405	2.74405	5.34282	5.34282	0.339321	0.660679	8.08686	8.08686	16.17372	7.268794	23.44252	2.353368	0.003398871	0.875193	0.875193	2.7592	2.7592	3.6344	3.6344	3.61924	3.61924	8.10202	8.10202	0.308776	0.691224	11.7213	11.7213	0.00816684	0.00816684	0.588342	0.588342	0.588342	0.588342	0.5	0.5	1.17668	1.17668	0.5	0.5	0.00339887	0
1	-832.7782	-717.1039	-115.6743	5.83306	5.83306	11.3573	11.3573	0.339321	0.660679	17.1904	17.1904	34.38076	7.268794	41.64955	2.353368	0.004706734	0.664028	0.664028	2.97037	2.97037	3.6344	3.6344	6.49709	6.49709	14.3277	14.3277	0.311989	0.688011	20.8248	20.8248	0.00752138	0.00752138	0.38644	0.790244	0.38644	0.790244	0.5	0.5	0.77288	1.58049	0.328415	0.671585	0.00470673	0
2	-803.0499	-694.0214	-109.0286	5.83306	5.83306	11.3573	11.3573	0.339321	0.660679	17.1904	17.1904	34.38076	7.268794	41.64955	2.353368	0.004706734	0.584982	0.584982	3.04942	3.04942	3.6344	3.6344	6.41805	6.41805	14.4067	14.4067	0.308193	0.691807	20.8248	20.8248	0.00772683	0.00772683	0.588342	0.588342	0.588342	0.588342	0.5	0.5	1.17668	1.17668	0.5	0.5	0.00470673	0
3	-724.8512	-627.1329	-97.71832	5.51836	5.51836	10.7446	10.7446	0.339321	0.660679	16.2629	16.2629	32.52584	6.876625	39.40246	2.353368	0.007037264	0.55342	0.55342	2.88489	2.88489	3.43831	3.43831	6.07178	6.07178	13.6295	13.6295	0.308193	0.691807	19.7012	19.7012	0.00772683	0.00772683	0.588342	0.588342	0.588342	0.588342	0.5	0.5	1.17668	1.17668	0.5	0.5	0.00174853	0.00528873
4	-729.8071	-623.8665	-105.9406	5.51836	5.51836	10.7446	10.7446	0.339321	0.660679	16.2629	16.2629	32.52584	6.876625	39.40246	2.353368	0.007037264	0.55342	0.55342	2.88489	2.88489	3.43831	3.43831	6.07178	6.07178	13.6295	13.6295	0.308193	0.691807	19.7012	19.7012	0.00772683	0.00772683	0.588342	0.588342	0.588342	0.588342	0.5	0.5	1.17668	1.17668	0.5	0.5	0.00149848	0.00553878
5	-714.0709	-616.2893	-97.78159	5.5836	5.45311	10.8716	10.6175	0.339321	0.660679	16.4552	16.0706	32.52584	6.876625	39.40246	2.353368	0.0104287	0.488178	0.618663	2.75786	3.01192	3.24604	3.63059	6.07178	6.07178	13.6295	13.6295	0.308193	0.691807	19.7012	19.7012	0.00939656	0.00939656	0.588342	0.588342	0.588342	0.588342	0.5	0.5	1.17668	1.17668	0.5	0.5	0.00222064	0.00820806
6	-702.3813	-603.818	-98.56329	7.09436	7.65556	13.8131	14.9058	0.339321	0.660679	20.9075	22.5614	43.46886	9.190205	52.65907	2.306704	0.0104287	1.02021	0.459017	4.40183	3.30915	5.42204	3.76817	8.11457	8.11457	18.215	18.215	0.308193	0.691807	26.3295	26.3295	0.00939656	0.00939656	0.205658	0.605428	0.379227	1.11639	0.351621	0.648379	0.584885	1.72182	0.253559	0.746441	0.00222064	0.00820806
7	-687.1357	-599.5451	-87.59061	7.77451	7.77451	13.9599	13.9599	0.357705	0.642295	21.7344	21.7344	43.46886	9.190205	52.65907	2.828829	0.0104287	0.340061	0.340061	4.25504	4.25504	4.5951	4.5951	8.11457	8.11457	18.215	18.215	0.308193	0.691807	26.3295	26.3295	0.0118947	0.0118947	0.682025	0.410644	1.08368	0.652479	0.386262	0.613738	1.76571	1.06312	0.624183	0.375817	0.00222064	0.00820806
8	-661.6944	-586.1799	-75.51444	7.77451	7.77451	13.9599	13.9599	0.357705	0.642295	21.7344	21.7344	43.46886	9.190205	52.65907	2.828829	0.0104287	0.529197	0.150926	4.6796	3.83048	5.20879	3.98141	8.30371	7.92544	18.6395	17.7904	0.308193	0.691807	26.9432	25.7158	0.0105171	0.0105171	0.829787	0.499611	0.935919	0.563513	0.469946	0.530054	1.76571	1.06312	0.624183	0.375817	0.00222064	0.00820806
9	-662.0791	-584.6878	-77.39132	7.77451	7.77451	13.9599	13.9599	0.357705	0.642295	21.7344	21.7344	43.46886	9.190205	52.65907	2.063875	0.0117956	0.529197	0.150926	4.6796	3.83048	5.20879	3.98141	8.30371	7.92544	18.6395	17.7904	0.308193	0.691807	26.9432	25.7158	0.0105171	0.0105171	0.608481	0.366364	0.679754	0.409276	0.472337	0.527663	1.28823	0.77564	0.624183	0.375817	0.0025117	0.0092839
