Iteration	Posterior	Likelihood	Prior	is_spCompletion_state_dependent
0	-127.3099	-61.46874	-65.84121	0
100	-100.9364	-36.58143	-64.35498	0
200	-96.86109	-36.71976	-60.14133	0
300	-91.38259	-33.42661	-57.95598	0
400	-119.7227	-49.35743	-70.36526	1
500	-104.4953	-34.1169	-70.37835	1
600	-108.8075	-38.23185	-70.57563	1
700	-97.14536	-35.09494	-62.05042	0
800	-104.2796	-31.9905	-72.28906	0
900	-90.74447	-30.82372	-59.92075	0
1000	-99.31306	-33.82673	-65.48633	0
1100	-116.6163	-48.4047	-68.21161	1
1200	-106.4495	-43.5599	-62.88958	1
1300	-109.6632	-40.45253	-69.21066	0
1400	-100.1092	-38.02952	-62.07966	0
1500	-95.11565	-29.42657	-65.68908	1
1600	-97.10099	-32.24794	-64.85306	1
1700	-114.7809	-47.08122	-67.69965	0
1800	-99.43704	-36.97315	-62.46388	0
1900	-103.6761	-42.38269	-61.29338	1
2000	-103.4499	-39.02446	-64.42542	0
2100	-98.19301	-34.72133	-63.47168	0
2200	-104.2523	-34.46793	-69.7844	0
2300	-108.8275	-41.88749	-66.94005	0
2400	-103.8221	-31.9987	-71.82343	1
2500	-96.54823	-34.19506	-62.35317	0
2600	-116.1088	-44.30742	-71.80139	1
2700	-111.9541	-40.69447	-71.25963	0
2800	-111.0138	-39.32087	-71.69297	1
2900	-99.6861	-34.51505	-65.17105	0
3000	-100.0534	-37.26884	-62.78461	0
3100	-99.61566	-34.57669	-65.03896	0
3200	-115.3632	-38.04185	-77.32131	1
3300	-96.11409	-35.17261	-60.94148	0
3400	-104.9452	-38.13846	-66.8067	0
3500	-101.3502	-33.67752	-67.67269	1
3600	-101.3094	-33.45843	-67.85101	0
3700	-91.51938	-32.74712	-58.77226	0
3800	-113.7468	-41.07131	-72.67548	0
3900	-97.61656	-34.26441	-63.35215	1
4000	-110.1546	-40.10983	-70.04475	1
4100	-97.23067	-37.98217	-59.24851	1
4200	-103.0415	-43.50328	-59.53825	1
4300	-92.46627	-33.98011	-58.48616	0
4400	-100.098	-38.83011	-61.2679	0
4500	-98.15679	-37.8103	-60.34649	1
4600	-108.0305	-40.24807	-67.78241	1
4700	-109.4134	-39.36433	-70.04905	0
4800	-111.3663	-44.71811	-66.64824	1
4900	-103.5903	-38.28008	-65.31021	1
5000	-100.8606	-39.57268	-61.2879	0
5100	-118.3089	-41.49524	-76.8137	0
5200	-104.2096	-38.03307	-66.1765	1
5300	-103.0954	-40.51093	-62.5845	0
5400	-110.9108	-40.21184	-70.69898	1
5500	-110.5481	-44.17224	-66.3759	0
5600	-97.82257	-37.91737	-59.9052	0
5700	-124.3701	-52.29548	-72.07465	0
5800	-112.3165	-41.59925	-70.71723	1
5900	-105.304	-33.55723	-71.7468	0
6000	-103.8403	-38.62428	-65.21604	0
6100	-113.7156	-39.48694	-74.22865	0
6200	-134.2358	-48.43041	-85.80539	1
6300	-103.1689	-36.95061	-66.21832	1
6400	-95.80774	-37.46493	-58.34281	0
6500	-108.3963	-38.785	-69.61129	0
6600	-104.7656	-38.16951	-66.59614	0
6700	-108.164	-39.22505	-68.93894	0
6800	-112.9028	-39.35197	-73.55083	1
6900	-106.9402	-38.05645	-68.88376	0
7000	-106.8985	-38.46659	-68.43189	0
7100	-111.6828	-43.50886	-68.17391	1
7200	-119.0975	-49.01606	-70.08146	0
7300	-102.3321	-42.13211	-60.20003	0
7400	-120.0072	-42.22047	-77.78669	0
7500	-91.79834	-32.01602	-59.78232	1
7600	-95.51216	-37.47383	-58.03833	0
7700	-107.9385	-35.46094	-72.47758	0
7800	-100.3526	-36.10944	-64.24312	0
7900	-100.0798	-36.31034	-63.76946	1
8000	-115.8336	-46.48263	-69.35097	0
8100	-95.99581	-37.17503	-58.82078	0
8200	-98.42274	-36.51952	-61.90323	1
8300	-108.5136	-51.47325	-57.0403	0
8400	-94.68186	-32.03839	-62.64347	0
8500	-112.1161	-43.31879	-68.79732	1
8600	-105.9105	-35.49406	-70.41647	1
8700	-106.3306	-35.79088	-70.53975	1
8800	-94.53317	-34.96492	-59.56826	0
8900	-115.139	-42.65213	-72.48683	1
9000	-107.2032	-42.28666	-64.9165	1
9100	-106.993	-43.2224	-63.77057	1
9200	-109.9317	-36.24731	-73.6844	0
9300	-106.639	-42.76587	-63.87311	0
9400	-111.0027	-41.28861	-69.71405	0
9500	-113.6353	-41.30548	-72.32977	0
9600	-106.5732	-36.94486	-69.62829	0
9700	-127.7239	-42.53049	-85.19345	0
9800	-94.18382	-34.77324	-59.41057	0
9900	-112.0283	-41.25023	-70.77811	1
10000	-105.4806	-32.85461	-72.62594	0
10100	-97.01834	-33.4707	-63.54763	0
10200	-110.8936	-43.07602	-67.81754	0
10300	-104.5935	-37.96433	-66.6292	1
10400	-101.4473	-33.34926	-68.09802	0
10500	-103.5234	-38.22486	-65.29858	0
10600	-108.1389	-41.99555	-66.14331	1
10700	-108.0039	-38.45949	-69.54437	1
10800	-101.5823	-39.10961	-62.47266	1
10900	-97.52996	-35.18518	-62.34477	1
11000	-120.9806	-45.7992	-75.18141	1
11100	-88.29582	-32.64131	-55.65451	1
11200	-109.6541	-36.68244	-72.97162	1
11300	-95.56113	-32.04978	-63.51135	0
11400	-100.5242	-32.44693	-68.07729	0
11500	-107.0755	-47.72502	-59.35048	0
11600	-109.4546	-45.79097	-63.66368	0
11700	-112.4943	-41.02525	-71.46905	1
11800	-112.3861	-48.06322	-64.3229	1
11900	-95.29744	-33.07291	-62.22452	0
12000	-112.1464	-41.9256	-70.22078	0
12100	-105.854	-35.23004	-70.62399	0
12200	-102.8788	-41.27544	-61.60332	0
12300	-106.7988	-35.89717	-70.90162	0
12400	-110.9402	-40.81953	-70.12067	0
12500	-108.5814	-42.02215	-66.55928	1
12600	-108.179	-43.22149	-64.95752	1
12700	-109.1595	-42.7174	-66.44207	1
12800	-94.53281	-34.05955	-60.47326	0
12900	-114.8477	-47.95159	-66.89606	0
13000	-105.9262	-35.55231	-70.37392	0
13100	-112.3134	-46.94116	-65.37227	1
13200	-97.45822	-33.87911	-63.57911	0
13300	-107.5183	-44.8609	-62.65738	0
13400	-101.6248	-35.02647	-66.59834	0
13500	-104.584	-33.03609	-71.54792	1
13600	-102.0235	-36.50857	-65.51494	0
13700	-116.9283	-48.42771	-68.50063	1
13800	-101.9939	-31.23864	-70.75523	1
13900	-119.9848	-48.79023	-71.19459	0
14000	-98.42094	-32.22489	-66.19604	0
14100	-111.5667	-37.46151	-74.10519	1
14200	-99.06745	-34.12265	-64.9448	1
14300	-108.4279	-41.57995	-66.84799	1
14400	-110.0939	-45.34902	-64.7449	1
14500	-114.0592	-49.16351	-64.89566	0
14600	-103.2488	-36.87154	-66.37726	0
14700	-96.57733	-33.7013	-62.87603	0
14800	-107.4469	-38.40044	-69.04649	1
14900	-118.9528	-41.82235	-77.13047	1
15000	-105.7532	-40.54839	-65.2048	0
15100	-103.5342	-41.02294	-62.51128	1
15200	-108.3892	-37.83565	-70.55358	0
15300	-103.3306	-36.67928	-66.65135	1
15400	-98.48386	-34.33668	-64.14718	0
15500	-99.82217	-35.29222	-64.52995	0
15600	-121.1552	-42.25189	-78.90332	1
15700	-111.0861	-36.27548	-74.81061	0
15800	-98.2798	-34.29681	-63.983	1
15900	-112.4048	-39.25668	-73.14815	1
16000	-109.433	-41.57395	-67.85904	1
16100	-113.5597	-42.52273	-71.03694	0
16200	-108.6954	-41.69456	-67.00089	1
16300	-109.4358	-38.51069	-70.92512	1
16400	-105.5525	-39.30758	-66.24495	0
16500	-105.9973	-39.48465	-66.51265	1
16600	-102.7138	-38.33255	-64.3812	0
16700	-102.3365	-39.84979	-62.48673	0
16800	-105.301	-33.05539	-72.24558	1
16900	-100.8658	-36.5978	-64.26803	0
17000	-108.6339	-44.55561	-64.0783	1
17100	-102.2254	-34.81041	-67.41496	1
17200	-103.9144	-34.47579	-69.43865	0
17300	-90.0936	-31.62067	-58.47293	0
17400	-111.6731	-47.75376	-63.91932	0
17500	-104.9623	-38.12291	-66.83935	0
17600	-111.1953	-42.32454	-68.87077	0
17700	-101.9419	-39.54683	-62.39507	1
17800	-111.4383	-42.52872	-68.9096	0
17900	-108.0573	-37.92115	-70.13617	0
18000	-107.4352	-42.17591	-65.25934	0
18100	-106.2233	-39.45693	-66.76641	0
18200	-97.36233	-35.41317	-61.94916	0
18300	-112.7465	-32.86689	-79.87963	1
18400	-106.1316	-39.24076	-66.89085	0
18500	-104.7724	-33.99046	-70.78199	1
18600	-116.1975	-50.93675	-65.26072	1
18700	-105.3217	-40.68501	-64.63666	0
18800	-114.3375	-41.56899	-72.76853	0
18900	-95.76488	-35.3419	-60.42298	0
19000	-103.3123	-39.07016	-64.24212	0
19100	-117.1669	-43.59098	-73.57588	0
19200	-101.1315	-35.4137	-65.71776	0
19300	-93.63339	-33.72772	-59.90567	0
19400	-112.2396	-41.74883	-70.4908	0
19500	-100.1337	-40.38052	-59.75322	1
19600	-100.7105	-38.50641	-62.20408	0
19700	-101.7612	-35.38695	-66.3742	1
19800	-106.7375	-34.25639	-72.48109	0
19900	-103.254	-33.49421	-69.75981	0
20000	-113.8425	-42.1068	-71.73567	0
20100	-111.328	-41.96533	-69.36266	0
20200	-106.5265	-38.50407	-68.02247	0
20300	-106.7973	-36.59718	-70.20009	1
20400	-111.3201	-41.0369	-70.28315	0
20500	-104.0564	-33.80386	-70.25258	1
20600	-108.4634	-41.09472	-67.36869	0
20700	-116.4243	-47.07926	-69.34505	1
20800	-98.96442	-38.78939	-60.17502	0
20900	-110.6774	-40.66001	-70.01736	0
21000	-109.7952	-39.99104	-69.8042	1
21100	-101.7757	-33.52298	-68.25269	0
21200	-94.57913	-32.19291	-62.38622	0
21300	-99.9949	-33.42783	-66.56707	1
21400	-113.5724	-44.65266	-68.91974	1
21500	-103.3663	-32.52038	-70.84588	1
21600	-94.16592	-37.14826	-57.01766	0
21700	-116.6414	-48.16007	-68.48137	1
21800	-104.7668	-35.15253	-69.61424	1
21900	-95.42213	-32.80307	-62.61906	0
22000	-113.1046	-37.01562	-76.08902	1
22100	-113.8375	-48.48378	-65.35376	1
22200	-97.97481	-38.52007	-59.45474	0
22300	-113.6304	-42.10672	-71.52371	1
22400	-98.17654	-32.222	-65.95454	0
22500	-112.3715	-43.30616	-69.0653	0
22600	-123.42	-41.43568	-81.98431	0
22700	-97.32458	-32.10981	-65.21477	0
22800	-111.3069	-40.75221	-70.55469	0
22900	-111.1822	-38.9401	-72.24209	0
23000	-102.4494	-32.44424	-70.00518	0
23100	-97.57705	-34.69306	-62.88399	0
23200	-121.156	-48.70516	-72.45084	0
23300	-113.3077	-40.82064	-72.48709	1
23400	-105.6998	-33.3181	-72.3817	0
23500	-100.3619	-37.90904	-62.45285	1
23600	-111.0612	-43.80854	-67.25263	1
23700	-105.3583	-36.30882	-69.04948	1
23800	-95.69239	-33.66218	-62.03021	1
23900	-88.44367	-29.0003	-59.44337	1
24000	-103.1001	-37.75834	-65.34175	1
24100	-107.2339	-39.50541	-67.72848	0
24200	-112.0871	-41.90356	-70.18354	1
24300	-94.42324	-32.79985	-61.62339	0
24400	-104.7904	-40.22446	-64.5659	0
24500	-102.4643	-40.91376	-61.55052	0
24600	-106.9574	-41.67516	-65.28224	0
24700	-96.28115	-34.43932	-61.84183	0
24800	-99.72956	-38.39426	-61.3353	0
24900	-108.4566	-37.6625	-70.79411	1
25000	-113.7863	-41.3009	-72.48536	1
25100	-97.0807	-36.05028	-61.03042	0
25200	-105.093	-39.04967	-66.0433	0
25300	-120.9533	-40.24296	-80.71036	1
25400	-98.13357	-38.87724	-59.25633	0
25500	-95.99978	-34.63648	-61.3633	1
25600	-113.0575	-45.13784	-67.91969	0
25700	-106.5038	-34.72637	-71.77742	0
25800	-100.4192	-41.27467	-59.14455	1
25900	-91.20914	-31.47799	-59.73115	0
26000	-91.9438	-34.17877	-57.76503	0
26100	-100.4399	-37.6613	-62.77863	1
26200	-99.72959	-41.16673	-58.56286	0
26300	-102.1733	-33.17161	-69.00169	0
26400	-111.1758	-42.79487	-68.38089	0
