Iteration	Posterior	Likelihood	Prior	SpeciationComplRate	stateSpecificRates[1]	stateSpecificRates[2]
0	-365.3405	-285.4345	-79.90599	0.4726284	0.236314	0.236314
100	-293.5739	-220.0566	-73.51723	0.1432084	0.112939	0.0302696
200	-295.0828	-225.2573	-69.82544	0.1041096	0.0520548	0.0520548
300	-285.7689	-217.3257	-68.44314	0.02880942	0.0196195	0.00918991
400	-300.1955	-224.2228	-75.97273	0.08056491	0.0782407	0.0023242
500	-286.7975	-218.8704	-67.92711	0.1148989	0.0215327	0.0933663
600	-301.2672	-229.3316	-71.93555	0.4188559	0.209428	0.209428
700	-296.2143	-223.1774	-73.03692	0.1011523	0.0505762	0.0505762
800	-292.0407	-224.0967	-67.94397	0.03653062	0.0308912	0.00563941
900	-288.9337	-219.1682	-69.76549	0.111099	0.0555495	0.0555495
1000	-302.7857	-222.7315	-80.05428	0.0686707	0.0343353	0.0343353
1100	-304.2693	-230.1737	-74.09563	0.3420047	0.171002	0.171002
1200	-290.4574	-218.9805	-71.47692	0.09029162	0.0451458	0.0451458
1300	-308.4203	-227.2683	-81.15202	0.1300125	0.0650062	0.0650062
1400	-288.8411	-216.6736	-72.16744	0.04906725	0.0138593	0.0352079
1500	-285.2523	-220.483	-64.76933	0.08295018	0.0414751	0.0414751
1600	-307.2604	-233.6042	-73.65619	0.06749135	0.034128	0.0333633
1700	-283.8937	-212.964	-70.92973	0.04942522	0.0247126	0.0247126
1800	-297.8213	-226.3588	-71.46259	0.1642158	0.0821079	0.0821079
1900	-283.8219	-216.3908	-67.43105	0.1242768	0.021707	0.10257
2000	-291.5175	-217.6282	-73.88929	0.1875745	0.101538	0.0860367
2100	-290.1145	-216.4612	-73.65329	0.1097911	0.0548956	0.0548956
2200	-301.2871	-222.4211	-78.86598	0.07671748	0.0745035	0.00221398
2300	-303.177	-230.571	-72.606	0.0496373	0.0187301	0.0309072
2400	-310.4114	-229.1117	-81.29971	0.1384653	0.0754339	0.0630314
2500	-281.6082	-215.6286	-65.97961	0.07418423	0.0370921	0.0370921
2600	-300.405	-227.127	-73.278	0.1060046	0.0530023	0.0530023
2700	-294.9821	-218.4267	-76.55537	0.1859736	0.0929868	0.0929868
2800	-280.3855	-215.3618	-65.02369	0.05854561	0.0292728	0.0292728
2900	-278.0675	-205.9828	-72.08474	0.06416274	0.0320814	0.0320814
3000	-286.4752	-207.0355	-79.43975	0.0825046	0.0412523	0.0412523
3100	-280.3072	-209.5224	-70.78477	0.2403415	0.113753	0.126589
3200	-274.0567	-207.8975	-66.1592	0.08433318	0.0761164	0.00821675
3300	-278.0241	-209.6978	-68.32632	0.1130575	0.0565288	0.0565288
3400	-285.0804	-208.1283	-76.95209	0.1164567	0.0392691	0.0771876
3500	-285.0063	-207.085	-77.9213	0.1000836	0.017023	0.0830607
3600	-285.8138	-210.2235	-75.59038	0.272693	0.00873846	0.263955
3700	-276.1328	-206.8543	-69.27849	0.09503231	0.0124542	0.0825781
3800	-283.4497	-208.5613	-74.88839	0.1319983	0.0410092	0.0909892
3900	-275.4424	-205.5884	-69.85402	0.05004221	0.0187477	0.0312945
4000	-272.8579	-206.3349	-66.52307	0.07980682	0.027695	0.0521119
4100	-270.2532	-206.5699	-63.68328	0.05466709	0.0117332	0.0429339
4200	-287.5908	-214.9169	-72.67388	0.1949136	0.0974568	0.0974568
4300	-278.189	-209.1527	-69.03626	0.1988955	0.0242017	0.174694
4400	-282.2239	-214.5589	-67.66507	0.07153304	0.0110396	0.0604934
4500	-288.9716	-213.7448	-75.22684	0.05455301	0.0377574	0.0167956
4600	-298.5183	-210.4533	-88.06496	0.23267	0.156668	0.076002
4700	-276.1458	-206.0401	-70.10569	0.0510373	0.0123429	0.0386944
4800	-285.4407	-208.878	-76.56269	0.168372	0.084186	0.084186
4900	-274.7049	-205.8859	-68.81904	0.03908532	0.0195427	0.0195427
5000	-272.1082	-206.7155	-65.39271	0.07414619	0.0559983	0.0181479
5100	-278.7703	-207.0356	-71.73468	0.09783449	0.0489172	0.0489172
5200	-268.5732	-207.0946	-61.47852	0.1289966	0.0277345	0.101262
5300	-273.7202	-206.6564	-67.06384	0.09454376	0.00938581	0.0851579
5400	-275.7825	-206.8071	-68.97532	0.08807177	0.0440359	0.0440359
5500	-280.8594	-210.734	-70.12538	0.1901023	0.0950511	0.0950511
5600	-274.3192	-206.2175	-68.10166	0.07789924	0.0389496	0.0389496
5700	-281.1899	-210.1558	-71.03409	0.2042911	0.0290456	0.175245
5800	-279.156	-207.6008	-71.55529	0.1145546	0.108404	0.0061505
5900	-282.1535	-207.3646	-74.78886	0.1429574	0.0225728	0.120385
6000	-276.2509	-207.4326	-68.81836	0.1057465	0.0528732	0.0528732
6100	-276.8306	-205.0917	-71.73884	0.02379982	0.0118999	0.0118999
6200	-290.2698	-207.6314	-82.6384	0.1003725	0.0860847	0.0142878
6300	-278.695	-208.8754	-69.81965	0.1482644	0.0802037	0.0680607
6400	-276.8353	-207.9278	-68.90746	0.1348538	0.034441	0.100413
6500	-273.8218	-207.2395	-66.58237	0.1217294	0.0109829	0.110747
6600	-278.0461	-207.8664	-70.17972	0.150268	0.075134	0.075134
6700	-274.7931	-207.4136	-67.37955	0.07123173	0.0380284	0.0332033
6800	-275.0856	-205.8372	-69.24842	0.04225625	0.0120472	0.0302091
6900	-280.8016	-215.361	-65.44058	0.06192862	0.013789	0.0481396
7000	-280.9948	-208.2244	-72.77039	0.1679245	0.0424788	0.125446
7100	-269.8763	-205.898	-63.97835	0.0638995	0.0098149	0.0540846
7200	-280.4907	-206.8593	-73.63146	0.08743498	0.0210488	0.0663862
7300	-290.7473	-213.3632	-77.38416	0.1828924	0.0914462	0.0914462
7400	-285.6389	-214.9121	-70.7268	0.06535961	0.0326798	0.0326798
7500	-275.2776	-206.9126	-68.36495	0.1122047	0.0561024	0.0561024
7600	-280.0621	-207.5465	-72.51564	0.1432318	0.0716159	0.0716159
7700	-272.9115	-206.2467	-66.66477	0.07835038	0.0391752	0.0391752
7800	-285.2294	-216.081	-69.14841	0.1362108	0.0681054	0.0681054
7900	-281.4373	-208.8575	-72.57981	0.1905744	0.12965	0.0609243
8000	-278.9513	-214.3517	-64.59956	0.05478402	0.027392	0.027392
8100	-274.5939	-207.7113	-66.88256	0.1446878	0.00132102	0.143367
8200	-274.6232	-207.1928	-67.43036	0.1044746	0.00864903	0.0958256
8300	-285.2806	-206.7109	-78.56971	0.1078807	0.0539403	0.0539403
8400	-272.195	-207.7476	-64.44741	0.09689555	0.0484478	0.0484478
8500	-295.0723	-217.8914	-77.18093	0.2373569	0.143848	0.0935091
8600	-284.618	-216.2311	-68.38687	0.185591	0.0751539	0.110437
8700	-282.2406	-210.6136	-71.62701	0.1961103	0.0740499	0.12206
