taxon	species_code
sp314	1	
sp313	1	
sp137	2	
sp214	3	
sp234	4	
sp233	4	
sp172	5	
sp236	6	
sp235	7	
sp276	8	
sp275	9	
sp99	10	
sp306	11	
sp305	12	
sp140	13	
sp284	14	
sp283	14	
sp288	15	
sp287	15	
sp304	16	
sp303	16	
sp274	17	
sp206	18	
sp262	19	
sp261	19	
sp240	19	
sp264	20	
sp263	20	
sp219	21	
sp244	22	
sp243	22	
sp227	22	
sp126	23	
sp286	24	
sp285	24	
sp332	25	
sp331	25	
sp238	26	
sp237	27	
sp272	28	
sp271	29	
sp218	30	
sp62	31	
sp250	32	
sp249	33	
sp294	34	
sp266	35	
sp316	36	
sp315	36	
sp300	37	
sp308	37	
sp307	37	
sp193	38	
sp164	39	
sp116	40	
sp312	41	
sp311	41	
sp319	41	
sp269	41	
sp259	41	
sp320	42	
sp254	43	
sp324	44	
sp323	44	
sp211	45	
sp176	46	
sp181	46	
sp182	47	
sp145	48	
sp246	49	
sp282	50	
sp281	51	
sp168	52	
sp167	53	
sp326	54	
sp325	54	
sp204	55	
sp278	56	
sp298	56	
sp297	56	
sp318	56	
sp317	56	
sp290	57	
sp322	57	
sp321	58	
sp231	59	
sp90	60	
sp330	61	
sp329	61	
sp310	62	
sp309	62	
sp215	62	
sp328	63	
sp327	63	
sp255	64	
sp190	65	
sp296	65	
sp302	65	
sp301	66	
